Data,Zamkniecie
2021-06-23,261.832
2021-06-24,263.222
2021-06-25,261.584
2021-06-28,265.237
2021-06-29,267.878
2021-06-30,267.381
2021-07-01,268.067
2021-07-02,274.044
2021-07-06,274.054
2021-07-07,276.296
2021-07-08,273.814
2021-07-09,274.331
2021-07-12,273.715
2021-07-13,277.329
2021-07-14,278.847
2021-07-15,277.379
2021-07-16,277.1
2021-07-19,273.417
2021-07-20,275.701
2021-07-21,277.746
2021-07-22,282.422
2021-07-23,285.906
2021-07-26,285.301
2021-07-27,282.819
2021-07-28,282.502
2021-07-29,282.779
2021-07-30,281.21
2021-08-02,281.122
2021-08-03,283.395
2021-08-04,282.789
2021-08-05,285.758
2021-08-06,285.698
2021-08-09,284.586
2021-08-10,282.719
2021-08-11,283.226
2021-08-12,286.045
2021-08-13,289.053
2021-08-16,290.771
2021-08-17,289.282
2021-08-18,287.505
2021-08-19,293.481
2021-08-20,300.977
2021-08-23,301.265
2021-08-24,299.27
2021-08-25,298.663
2021-08-26,295.764
2021-08-27,296.39
2021-08-30,300.222
2021-08-31,298.535
2021-09-01,298.485
2021-09-02,297.81
2021-09-03,297.8
2021-09-07,296.846
2021-09-08,296.876
2021-09-09,293.958
2021-09-10,292.43
2021-09-13,293.7
2021-09-14,296.46
2021-09-15,301.433
2021-09-16,301.831
2021-09-17,296.539
2021-09-20,291.03
2021-09-21,291.525
2021-09-22,295.268
2021-09-23,296.231
2021-09-24,296.023
2021-09-27,290.9
2021-09-28,280.377
2021-09-29,280.854
2021-09-30,278.798
2021-10-01,285.886
2021-10-04,279.97
2021-10-05,285.559
2021-10-06,289.858
2021-10-07,291.575
2021-10-08,291.575
2021-10-11,290.96
2021-10-12,289.639
2021-10-13,293.024
2021-10-14,299.398
2021-10-15,300.828
2021-10-18,303.886
2021-10-19,304.819
2021-10-20,304.004
2021-10-21,307.311
2021-10-22,305.731
2021-10-25,304.719
2021-10-26,306.665
2021-10-27,319.581
2021-10-28,320.752
2021-10-29,327.94
2021-11-01,325.717
2021-11-02,329.43
2021-11-03,330.293
2021-11-04,332.715
2021-11-05,332.338
2021-11-08,333.252
2021-11-09,332.229
2021-11-10,327.136
2021-11-11,328.745
2021-11-12,332.994
2021-11-15,332.348
2021-11-16,335.743
2021-11-17,335.972
2021-11-18,338.106
2021-11-19,339.922
2021-11-22,336.676
2021-11-23,334.542
2021-11-24,334.77
2021-11-26,326.621
2021-11-29,333.509
2021-11-30,327.523
2021-12-01,327.017
2021-12-02,326.431
2021-12-03,320.008
2021-12-06,323.165
2021-12-07,331.812
2021-12-08,331.862
2021-12-09,330.006
2021-12-10,339.358
2021-12-13,336.249
2021-12-14,325.29
2021-12-15,331.544
2021-12-16,321.885
2021-12-17,320.792
2021-12-20,316.94
2021-12-21,324.247
2021-12-22,330.104
2021-12-23,331.584
2021-12-27,339.268
2021-12-28,338.086
2021-12-29,338.771
2021-12-30,336.17
2021-12-31,333.202
2022-01-03,331.643
2022-01-04,325.954
2022-01-05,313.446
2022-01-06,310.964
2022-01-07,311.123
2022-01-10,311.351
2022-01-11,312.057
2022-01-12,315.312
2022-01-13,301.969
2022-01-14,307.321
2022-01-18,299.845
2022-01-19,300.51
2022-01-20,298.803
2022-01-21,293.283
2022-01-24,293.621
2022-01-25,285.808
2022-01-26,293.958
2022-01-27,297.056
2022-01-28,305.394
2022-01-31,308.095
2022-02-01,305.891
2022-02-02,310.547
2022-02-03,298.455
2022-02-04,303.102
2022-02-07,298.157
2022-02-08,301.732
2022-02-09,308.323
2022-02-10,299.577
2022-02-11,292.3
2022-02-14,292.26
2022-02-15,297.68
2022-02-16,297.333
2022-02-17,288.627
2022-02-18,285.847
2022-02-22,285.638
2022-02-23,278.243
2022-02-24,292.458
2022-02-25,295.159
2022-02-28,296.629
2022-03-01,292.817
2022-03-02,298.018
2022-03-03,293.779
2022-03-04,287.762
2022-03-07,276.893
2022-03-08,273.854
2022-03-09,286.413
2022-03-10,283.523
2022-03-11,278.043
2022-03-14,274.441
2022-03-15,285.073
2022-03-16,292.26
2022-03-17,293.084
2022-03-18,298.256
2022-03-21,296.996
2022-03-22,301.859
2022-03-23,297.323
2022-03-24,301.899
2022-03-25,301.482
2022-03-28,308.452
2022-03-29,313.128
2022-03-30,311.59
2022-03-31,306.079
2022-04-01,307.181
2022-04-04,312.691
2022-04-05,308.631
2022-04-06,297.333
2022-04-07,299.19
2022-04-08,294.821
2022-04-11,283.196
2022-04-12,280.02
2022-04-13,285.539
2022-04-14,277.806
2022-04-18,278.49
2022-04-19,283.236
2022-04-20,284.289
2022-04-21,278.778
2022-04-22,272.047
2022-04-25,278.69
2022-04-26,268.265
