Data,Zamkniecie
2020-11-26,0.8396
2020-11-27,0.83607
2020-11-30,0.83817
2020-12-01,0.82835
2020-12-02,0.82557
2020-12-03,0.8234
2020-12-04,0.82462
2020-12-07,0.82574
2020-12-08,0.82603
2020-12-09,0.82777
2020-12-10,0.82361
2020-12-11,0.82537
2020-12-14,0.82334
2020-12-15,0.82295
2020-12-16,0.81982
2020-12-17,0.81515
2020-12-18,0.81665
2020-12-21,0.81709
2020-12-22,0.82208
2020-12-23,0.82032
2020-12-24,0.82097
2020-12-28,0.81905
2020-12-29,0.8161
2020-12-30,0.81318
2020-12-31,0.8186
2021-01-04,0.81629
2021-01-05,0.81322
2021-01-06,0.81116
2021-01-07,0.81526
2021-01-08,0.81808
2021-01-11,0.82287
2021-01-12,0.8193
2021-01-13,0.82257
2021-01-14,0.82292
2021-01-15,0.82797
2021-01-18,0.82794
2021-01-19,0.82452
2021-01-20,0.82576
2021-01-21,0.82183
2021-01-22,0.82194
2021-01-25,0.82348
2021-01-26,0.82223
2021-01-27,0.82584
2021-01-28,0.82495
2021-01-29,0.82399
2021-02-01,0.82906
2021-02-02,0.8303
2021-02-03,0.83099
2021-02-04,0.83578
2021-02-05,0.82997
2021-02-08,0.82974
2021-02-09,0.8251
2021-02-10,0.82515
2021-02-11,0.82421
2021-02-12,0.82523
2021-02-15,0.82452
2021-02-16,0.82626
2021-02-17,0.83026
2021-02-18,0.82708
2021-02-19,0.82533
2021-02-22,0.82233
2021-02-23,0.82312
2021-02-24,0.82194
2021-02-25,0.82083
2021-02-26,0.8288
2021-03-01,0.82985
2021-03-02,0.82752
2021-03-03,0.82895
2021-03-04,0.83507
2021-03-05,0.83924
2021-03-08,0.84396
2021-03-09,0.84018
2021-03-10,0.83849
2021-03-11,0.83449
2021-03-12,0.83604
2021-03-15,0.8386
2021-03-16,0.8402
2021-03-17,0.83482
2021-03-18,0.83912
2021-03-19,0.84
2021-03-22,0.83796
2021-03-23,0.84407
2021-03-24,0.84661
2021-03-25,0.84934
2021-03-26,0.84797
2021-03-29,0.84981
2021-03-30,0.8534
2021-03-31,0.85267
2021-04-01,0.84921
2021-04-05,0.84649
2021-04-06,0.8423
2021-04-07,0.84248
2021-04-08,0.83926
2021-04-09,0.84012
2021-04-12,0.83945
2021-04-13,0.83682
2021-04-14,0.8348
2021-04-15,0.8356
2021-04-16,0.83466
2021-04-19,0.83074
2021-04-20,0.8309
2021-04-21,0.83083
2021-04-22,0.83216
2021-04-23,0.82647
2021-04-26,0.82736
2021-04-27,0.82719
2021-04-28,0.82471
2021-04-29,0.82489
2021-04-30,0.83171
2021-05-03,0.82891
2021-05-04,0.83253
2021-05-05,0.83285
2021-05-06,0.82895
2021-05-07,0.82194
2021-05-10,0.82431
2021-05-11,0.82306
2021-05-12,0.82841
2021-05-13,0.8276
2021-05-14,0.82352
2021-05-17,0.82285
2021-05-18,0.81802
2021-05-19,0.82125
2021-05-20,0.81769
2021-05-21,0.82056
2021-05-24,0.81854
2021-05-25,0.81633
2021-05-26,0.82005
2021-05-27,0.82001
2021-05-28,0.82003
2021-05-31,0.81786
2021-06-01,0.81871
2021-06-02,0.81887
2021-06-03,0.82459
2021-06-04,0.82177
2021-06-07,0.82022
2021-06-08,0.82148
2021-06-09,0.82109
2021-06-10,0.82142
2021-06-11,0.82583
2021-06-14,0.82508
2021-06-15,0.82446
2021-06-16,0.83376
2021-06-17,0.83989
2021-06-18,0.84259
2021-06-21,0.839
2021-06-22,0.83753
2021-06-23,0.83837
2021-06-24,0.83817
2021-06-25,0.83742
2021-06-28,0.83843
2021-06-29,0.84021
2021-06-30,0.84324
2021-07-01,0.8439
2021-07-02,0.84277
2021-07-05,0.84297
2021-07-06,0.84589
2021-07-07,0.8479
2021-07-08,0.84425
2021-07-09,0.84179
2021-07-12,0.84303
2021-07-13,0.84904
2021-07-14,0.84482
2021-07-15,0.84653
2021-07-16,0.84715
2021-07-19,0.8476
2021-07-20,0.84877
2021-07-21,0.84769
2021-07-22,0.84952
2021-07-23,0.84955
2021-07-26,0.84726
2021-07-27,0.84615
2021-07-28,0.84422
2021-07-29,0.84114
2021-07-30,0.84309
2021-08-02,0.84228
2021-08-03,0.84293
2021-08-04,0.84483
2021-08-05,0.84499
2021-08-06,0.85044
2021-08-09,0.8519
2021-08-10,0.85321
2021-08-11,0.85172
2021-08-12,0.85241
2021-08-13,0.84765
2021-08-16,0.84908
2021-08-17,0.85389
2021-08-18,0.85397
2021-08-19,0.85631
2021-08-20,0.85455
2021-08-23,0.85134
2021-08-24,0.8506
2021-08-25,0.84955
2021-08-26,0.85075
2021-08-27,0.84772
2021-08-30,0.84757
2021-08-31,0.84677
2021-09-01,0.84463
2021-09-02,0.84218
2021-09-03,0.84173
2021-09-06,0.84237
2021-09-07,0.84422
2021-09-08,0.84617
2021-09-09,0.84564
2021-09-10,0.84655
2021-09-13,0.84666
2021-09-14,0.84698
2021-09-15,0.8463
2021-09-16,0.84973
2021-09-17,0.85248
2021-09-20,0.85267
2021-09-21,0.85282
2021-09-22,0.85518
2021-09-23,0.85188
2021-09-24,0.85348
2021-09-27,0.85486
2021-09-28,0.85583
2021-09-29,0.86225
2021-09-30,0.86344
2021-10-01,0.8622
2021-10-04,0.86061
2021-10-05,0.86231
2021-10-06,0.86543
2021-10-07,0.86531
2021-10-08,0.86421
2021-10-11,0.86546
2021-10-12,0.86723
2021-10-13,0.86219
2021-10-14,0.86218
2021-10-15,0.86183
2021-10-18,0.86128
2021-10-19,0.85974
2021-10-20,0.85842
2021-10-21,0.86016
2021-10-22,0.85887
2021-10-25,0.8612
2021-10-26,0.86257
2021-10-27,0.86188
2021-10-28,0.85601
2021-10-29,0.86508
2021-11-01,0.86191
2021-11-02,0.86362
2021-11-03,0.86121
2021-11-04,0.86557
2021-11-05,0.86451
2021-11-08,0.86313
2021-11-09,0.86263
2021-11-10,0.8711
2021-11-11,0.87342
2021-11-12,0.87364
2021-11-15,0.87979
2021-11-16,0.88326
2021-11-17,0.88355
2021-11-18,0.87938
2021-11-19,0.88587
2021-11-22,0.88985
2021-11-23,0.88895
2021-11-24,0.89279
2021-11-25,0.89222
2021-11-26,0.88308
2021-11-29,0.88577
2021-11-30,0.88194
2021-12-01,0.88353
2021-12-02,0.88486
2021-12-03,0.88423
2021-12-06,0.8863
2021-12-07,0.88742
2021-12-08,0.88168
2021-12-09,0.8855
2021-12-10,0.88361
2021-12-13,0.88629
2021-12-14,0.88831
2021-12-15,0.88542
2021-12-16,0.88253
2021-12-17,0.88993
2021-12-20,0.88658
2021-12-21,0.88644
